Author,Resort,Count,Role,cluster
Johannes Boie,der-andere-blick,8,Unknown,1
Johannes C. Bockenheimer,international,77,Redaktion Deutschland,1
Johannes C. Giwerzew,international,1,Unknown,1
Johannes Schweikle,reisen,2,Unknown,9
Johannes Thimm,meinung,1,Unknown,3
John Eibner,meinung,1,Unknown,5
Jonas Hermann,international,28,Redaktion Deutschland,1
Jonas Oesch,Unspecified,7,Visuals & Tech,2
Jonas Opperskalski,international,3,Unknown,2
Jonas Roth,international,79,International,2
Jonas Scheck,schweiz,1,Unknown,0
Jordi Ruiz Cirera,schweiz,1,Unknown,7
